MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
13218237,12321002.245,0,23133,291
13218237,12474823.185,1,23133,291
13318252,12554227.7075,2,32460,293
13318252,12613926.9975,3,32460,293
13360883,12689347.54,4,29747,294
13498002,12738182.585,5,30834,297
13500329,12750365.945,6,33161,297
13818706,12766422.1725,7,34130,304
13818706,12765384.565,8,34130,304
13818706,12819599.2275,9,34130,304
13818706,12833455.6575,10,34130,304
13818706,12873898.6975,11,34130,304
13818706,12885223.2,12,34130,304
13818706,12921492.1725,13,34130,304
13818706,12950413.5025,14,34130,304
14000524,12978819.2975,15,34572,308
14000524,12941490.775,16,34572,308
14000524,12913971.67,17,34572,308
14000524,12944432.5,18,34572,308
14000524,12957329.5875,19,34572,308
14000524,12963200.9725,20,34572,308
14000524,13004419.9975,21,34572,308
14000524,13022522.965,22,34572,308
14000524,13065259.8175,23,34572,308
14000524,13065689.5375,24,34572,308
14000524,13072818.6025,25,34572,308
14000524,13082148.3125,26,34572,308
14000524,13065140.2075,27,34572,308
14000524,13059453.23,28,34572,308
14000524,13090399.0475,29,34572,308
14000524,13049490.13,30,34572,308
14000524,13059316.95,31,34572,308
14000524,13062395.2125,32,34572,308
14000524,13073023.0425,33,34572,308
14000524,13086549.59,34,34572,308
14000524,13090894.6375,35,34572,308
14000524,13108605.6875,36,34572,308
14000524,13107381.5975,37,34572,308
14000524,13137939.8975,38,34572,308
14000524,13113394.8425,39,34572,308
14000524,13104429.09,40,34572,308
14002083,13109549.05,41,36131,308
14002083,13095440.9575,42,36131,308
14002083,13048213.3075,43,36131,308
14002083,13075831.335,44,36131,308
14002083,13116930.1625,45,36131,308
14002083,13160730.7675,46,36131,308
14002083,13142265.615,47,36131,308
14002083,13170143.645,48,36131,308
14002083,13161950.485,49,36131,308
